trade_type,asset,fiat,bank,advNo,maxSingleTransAmount,minSingleTransAmount,price,tradableQuantity,time
BUY,usdt,rub,RaiffeisenBank,11413404120048701440,126001.0,126000.0,65.48,1998.0,1665908396
BUY,usdt,rub,RaiffeisenBank,11414528365556281344,300000.0,34500.0,65.5,528.18,1665908396
BUY,usdt,rub,RaiffeisenBank,11414531906661687296,350000.0,300000.0,65.51,4986.01,1665908396
BUY,usdt,rub,RaiffeisenBank,11414864276492902400,870000.0,300000.0,65.57,9190.8,1665908396
BUY,usdt,rub,RaiffeisenBank,11414823349681737728,870000.0,99900.0,65.58,3081.61,1665908396
SELL,usdt,kzt,KaspiBank,11411574304213606400,5500000.0,91337.0,474.41,1145.0,1665908396
SELL,usdt,kzt,KaspiBank,11400179543647195136,1000000.0,100000.0,474.4,1800.0,1665908396
SELL,usdt,kzt,KaspiBank,11408353863768104960,999999.0,455298.0,474.4,960.96,1665908396
SELL,usdt,kzt,KaspiBank,11400803025548099584,10000000.0,100000.0,474.38,1135.25,1665908396
SELL,usdt,kzt,KaspiBank,11373978580960182272,5000000.0,300000.0,474.35,1140.3,1665908396
